[  3] Received message from   1: 1|0
[ 33] Received message from  75: 13|66,49,61,86,41
[ 33] Received message from  74: 13|49,61,86,41,73
[ 77] Received message from  28: 13|13,52,66,49,96
[ 95] Received message from  96: 13|0,13,52,66,49
[ 28] Sent Broadcast: 13|13,52,66,49,96
[ 96] Sent Broadcast: 13|0,13,52,66,49
[ 88] Received message from  77: 13|13,52,66,49,87
[ 73] Received message from  75: 13|66,49,61,86,41
[ 95] Received message from  88: 13|0,13,52,66,49
[ 96] Received message from  77: 13|13,52,66,49,87
[ 75] Received message from  74: 13|49,61,86,41,73
[ 77] Sent Broadcast: 13|13,52,66,49,87
[ 74] Sent Broadcast: 13|49,61,86,41,73
[ 74] Received message from  33: 13|49,61,86,41,75
[ 74] Received message from  75: 13|66,49,61,86,41
[ 75] Sent Broadcast: 13|66,49,61,86,41
[ 84] Received message from  33: 13|49,61,86,41,75
[ 96] Received message from  88: 13|0,13,52,66,49
[ 88] Sent Broadcast: 13|0,13,52,66,49
[ 33] Sent Broadcast: 13|49,61,86,41,75
[ 22] Received message from  84: 13|61,86,41,75,33
[ 30] Received message from  84: 13|61,86,41,75,33
[ 84] Sent Broadcast: 13|61,86,41,75,33
[ 30] Received message from  22: 13|86,41,75,33,84
[ 44] Received message from  22: 13|86,41,75,33,84
[ 22] Received message from  30: 13|86,41,75,33,84
[ 22] Sent Broadcast: 13|86,41,75,33,84
[ 44] Received message from  30: 13|86,41,75,33,84
[ 30] Sent Broadcast: 13|86,41,75,33,84
[ 30] Received message from  44: 13|41,75,33,84,22
[ 39] Received message from  44: 13|41,75,33,84,22
[ 58] Received message from  44: 13|41,75,33,84,22
[ 44] Sent Broadcast: 13|41,75,33,84,22
[ 50] Received message from  39: 13|75,33,84,22,44
[ 39] Received message from  58: 13|75,33,84,22,44
[ 58] Received message from  39: 13|75,33,84,22,44
[ 39] Sent Broadcast: 13|75,33,84,22,44
[ 48] Received message from  50: 13|33,84,22,44,39
[ 48] Received message from  58: 13|75,33,84,22,44
[ 58] Received message from  50: 13|33,84,22,44,39
[ 50] Sent Broadcast: 13|33,84,22,44,39
[ 50] Received message from  58: 13|75,33,84,22,44
[ 58] Received message from  48: 13|84,22,44,39,50
[ 58] Sent Broadcast: 13|75,33,84,22,44
[ 48] Sent Broadcast: 13|84,22,44,39,50
