[102] Received message from  78: 3|89,68,74,81,55
[149] Received message from 140: 3|137,37,43,89,68
[ 78] Received message from 121: 3|89,68,74,81,55
[ 70] Received message from   6: 3|68,74,81,55,78
[140] Sent Broadcast: 3|137,37,43,89,68
[ 69] Received message from 132: 3|43,89,68,74,81
[120] Received message from  78: 3|89,68,74,81,55
[102] Received message from 121: 3|89,68,74,81,55
[113] Received message from 102: 3|68,74,81,55,78
[ 71] Received message from  70: 3|74,81,55,78,6
[121] Received message from  78: 3|89,68,74,81,55
[114] Received message from 132: 3|43,89,68,74,81
[ 71] Received message from   6: 3|68,74,81,55,78
[ 99] Received message from  70: 3|74,81,55,78,6
[120] Received message from 121: 3|89,68,74,81,55
[  6] Received message from 120: 3|68,74,81,55,78
[114] Received message from  69: 3|89,68,74,81,132
[125] Received message from  78: 3|89,68,74,81,55
[138] Received message from 132: 3|43,89,68,74,81
[132] Sent Broadcast: 3|43,89,68,74,81
[ 23] Received message from 113: 3|74,81,55,78,102
[118] Received message from  70: 3|74,81,55,78,6
[125] Received message from 121: 3|89,68,74,81,55
[120] Received message from 102: 3|68,74,81,55,78
[126] Received message from  78: 3|89,68,74,81,55
[102] Received message from 120: 3|68,74,81,55,78
[123] Received message from  71: 3|81,55,78,6,70
[ 69] Received message from 114: 3|89,68,74,81,132
[ 78] Sent Broadcast: 3|89,68,74,81,55
[138] Received message from  69: 3|89,68,74,81,132
[ 53] Received message from  99: 3|81,55,78,6,70
[120] Received message from   6: 3|68,74,81,55,78
[ 69] Sent Broadcast: 3|89,68,74,81,132
[ 26] Received message from 113: 3|74,81,55,78,102
[121] Received message from 102: 3|68,74,81,55,78
[124] Received message from  70: 3|74,81,55,78,6
[138] Received message from 114: 3|89,68,74,81,132
[  6] Received message from 125: 3|68,74,81,55,78
[125] Received message from  71: 3|81,55,78,6,70
[126] Received message from 121: 3|89,68,74,81,55
[114] Sent Broadcast: 3|89,68,74,81,132
[ 71] Sent Broadcast: 3|81,55,78,6,70
[121] Sent Broadcast: 3|89,68,74,81,55
[ 69] Received message from 138: 3|89,68,74,81,132
[100] Received message from 123: 3|55,78,6,70,71
[ 27] Received message from  23: 3|81,55,78,102,113
[121] Received message from 120: 3|68,74,81,55,78
[118] Received message from  99: 3|81,55,78,6,70
[126] Received message from 102: 3|68,74,81,55,78
[ 53] Received message from 118: 3|81,55,78,6,70
[102] Sent Broadcast: 3|68,74,81,55,78
[102] Received message from 126: 3|68,74,81,55,78
[ 98] Received message from 113: 3|74,81,55,78,102
[125] Received message from  70: 3|74,81,55,78,6
[ 99] Received message from 118: 3|81,55,78,6,70
[ 77] Received message from  53: 3|55,78,6,70,99
[ 70] Sent Broadcast: 3|74,81,55,78,6
[ 70] Received message from 125: 3|68,74,81,55,78
[121] Received message from   6: 3|68,74,81,55,78
[118] Sent Broadcast: 3|81,55,78,6,70
[114] Received message from 138: 3|89,68,74,81,132
[150] Received message from 124: 3|81,55,78,6,70
[138] Sent Broadcast: 3|89,68,74,81,132
[130] Received message from  26: 3|81,55,78,102,113
[124] Sent Broadcast: 3|81,55,78,6,70
[ 26] Sent Broadcast: 3|81,55,78,102,113
[136] Received message from 123: 3|55,78,6,70,71
[123] Sent Broadcast: 3|55,78,6,70,71
[125] Received message from 120: 3|68,74,81,55,78
[  8] Received message from 100: 3|78,6,70,71,123
[120] Received message from 126: 3|68,74,81,55,78
[118] Received message from  53: 3|55,78,6,70,99
