[  4] Received message from   1: 1|0
[ 46] Received message from   6: 1|78,16,147,3,136
[115] Received message from  51: 1|1,4,78,16,111
[ 90] Received message from  29: 1|15,14,24,7,36
[149] Received message from  35: 1|1,4,78,16,111
[136] Sent Broadcast: 1|4,78,16,147,3
[ 14] Sent Broadcast: 1|1,53,86,10,15
[  6] Received message from  46: 1|78,16,147,3,136
[ 51] Received message from 144: 1|53,86,10,32,43
[ 30] Received message from  21: 1|116,52,127,137,65
[127] Received message from 141: 1|4,78,16,116,52
[ 36] Received message from  90: 1|86,10,15,14,66
[ 62] Received message from  13: 1|53,86,10,15,61
[ 88] Received message from   7: 1|86,10,15,14,24
[ 13] Received message from  50: 1|53,86,10,15,61
[ 50] Received message from   5: 1|86,10,15,61,13
[ 56] Received message from  11: 1|10,15,61,13,5
[ 24] Received message from 101: 1|53,86,10,15,14
[144] Received message from  51: 1|1,4,78,16,111
[ 36] Received message from  88: 1|53,86,10,15,14
[147] Received message from 150: 1|1,4,78,16,116
[104] Received message from   6: 1|78,16,147,3,136
[149] Received message from  43: 1|1,53,86,10,32
[150] Received message from  35: 1|1,4,78,16,111
[ 46] Received message from 140: 1|4,78,16,147,3
[ 49] Received message from  46: 1|78,16,147,3,136
[115] Received message from  32: 1|0,1,53,86,10
[ 19] Received message from  41: 1|86,10,15,14,24
[120] Received message from  10: 1|0,1,53,86
[ 90] Received message from  36: 1|10,15,14,24,7
[ 19] Received message from  38: 1|86,10,15,14,24
[113] Received message from 115: 1|0,1,53,86
[124] Received message from  65: 1|16,116,52,127,137
[144] Received message from 141: 1|4,78,16,116,52
[ 19] Received message from  50: 1|53,86,10,15,61
[ 51] Sent Broadcast: 1|1,4,78,16,111
[ 65] Sent Broadcast: 1|16,116,52,127,137
[  5] Received message from  77: 1|53,86,10,15,61
[ 42] Received message from  19: 1|10,15,14,24,7
[ 92] Received message from   7: 1|86,10,15,14,24
[150] Sent Broadcast: 1|1,4,78,16,116
[ 10] Sent Broadcast: 1|0,1,53,86
[ 43] Sent Broadcast: 1|1,53,86,10,32
[ 35] Sent Broadcast: 1|1,4,78,16,111
[149] Received message from 127: 1|4,78,16,116,52
[ 88] Received message from  94: 1|53,86,10,15,14
[ 40] Received message from  21: 1|116,52,127,137,65
[  2] Received message from  30: 1|116,52,127,137,65
[ 60] Received message from   5: 1|86,10,15,61,13
[ 36] Received message from 101: 1|53,86,10,15,14
[113] Received message from  63: 1|4,78,16,111,35
[ 13] Received message from  33: 1|15,14,24,7,19
[ 71] Received message from  13: 1|53,86,10,15,61
[ 63] Received message from 144: 1|53,86,10,32,43
[ 96] Received message from  29: 1|15,14,24,7,36
[ 44] Received message from  19: 1|10,15,14,24,7
[ 58] Received message from  49: 1|16,147,3,136,46
[ 66] Received message from  88: 1|53,86,10,15,14
[149] Received message from  67: 1|4,78,16,116,52
[ 96] Received message from  39: 1|15,14,24,7,36
[114] Received message from  76: 1|4,78,16,111,35
[120] Received message from 115: 1|0,1,53,86
[  5] Received message from  62: 1|86,10,15,61,13
[ 32] Received message from 149: 1|4,78,16,111,35
[  9] Received message from  56: 1|15,61,13,5,11
[140] Received message from   6: 1|78,16,147,3,136
[127] Sent Broadcast: 1|4,78,16,116,52
[ 67] Sent Broadcast: 1|4,78,16,116,52
[ 46] Received message from 104: 1|16,147,3,136,6
[136] Received message from 140: 1|4,78,16,147,3
[ 49] Sent Broadcast: 1|16,147,3,136,46
[  6] Sent Broadcast: 1|78,16,147,3,136
[115] Sent Broadcast: 1|0,1,53,86
[ 58] Received message from  46: 1|78,16,147,3,136
[ 41] Received message from  38: 1|86,10,15,14,24
[ 60] Received message from  11: 1|10,15,61,13,5
[140] Sent Broadcast: 1|4,78,16,147,3
[ 38] Received message from  41: 1|86,10,15,14,24
[ 84] Received message from  21: 1|116,52,127,137,65
[ 13] Received message from  77: 1|53,86,10,15,61
[ 26] Received message from  40: 1|52,127,137,65,21
[101] Received message from   7: 1|86,10,15,14,24
[ 88] Received message from  24: 1|53,86,10,15,14
[149] Received message from 141: 1|4,78,16,116,52
[ 67] Received message from 144: 1|53,86,10,32,43
[120] Received message from  32: 1|0,1,53,86,10
[ 33] Received message from  42: 1|15,14,24,7,19
[ 23] Received message from   2: 1|52,127,137,65,30
[101] Received message from  36: 1|10,15,14,24,7
[ 50] Received message from  19: 1|10,15,14,24,7
[ 72] Received message from  13: 1|53,86,10,15,61
[ 43] Received message from 149: 1|4,78,16,111,35
[ 13] Received message from  92: 1|10,15,14,24,7
[ 21] Received message from  30: 1|116,52,127,137,65
[141] Received message from  76: 1|4,78,16,111,35
[109] Received message from  29: 1|15,14,24,7,36
[104] Received message from  46: 1|78,16,147,3,136
[ 24] Received message from  50: 1|53,86,10,15,61
[115] Received message from  63: 1|4,78,16,111,35
[141] Sent Broadcast: 1|4,78,16,116,52
[  7] Sent Broadcast: 1|86,10,15,14,24
[ 19] Received message from  62: 1|86,10,15,61,13
[ 22] Received message from  56: 1|15,61,13,5,11
[108] Received message from 104: 1|16,147,3,136,6
[ 42] Received message from  33: 1|15,14,24,7,19
[ 88] Received message from  90: 1|86,10,15,14,66
[ 90] Received message from  94: 1|53,86,10,15,14
[ 58] Received message from   2: 1|52,127,137,65,30
[  2] Received message from  58: 1|147,3,136,46,49
[ 72] Received message from  11: 1|10,15,61,13,5
[  9] Received message from  60: 1|10,15,61,13,5
[120] Received message from  63: 1|4,78,16,111,35
[ 28] Received message from  44: 1|15,14,24,7,19
[144] Received message from  32: 1|0,1,53,86,10
[ 62] Received message from   5: 1|86,10,15,61,13
[ 97] Received message from  21: 1|116,52,127,137,65
[ 42] Received message from  38: 1|86,10,15,14,24
[ 88] Received message from 101: 1|53,86,10,15,14
[ 92] Received message from  24: 1|53,86,10,15,14
[ 19] Received message from  77: 1|53,86,10,15,61
[ 33] Received message from  50: 1|53,86,10,15,61
[ 39] Received message from  96: 1|14,24,7,36,29
[ 90] Received message from  88: 1|53,86,10,15,14
