[131] Received message from   1: 1|0,131
[ 75] Received message from  74: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,81
[132] Received message from  81: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132
[ 81] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132
[ 81] Received message from 149: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,65,75,81
[ 78] Received message from  55: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121
[ 45] Received message from  79: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54,93,79,144,40,45
[ 79] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,54,93,79,144,40,45
[ 81] Received message from  74: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,81
[149] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,65,75,81
[ 74] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,75,81
[ 69] Received message from 132: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,69,114,138
[121] Received message from  55: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121
[  6] Received message from  78: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[ 55] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121
[114] Received message from 132: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,69,114,138
[  6] Received message from 121: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[ 70] Received message from   6: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71
[102] Received message from  78: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[ 71] Received message from   6: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71
[  6] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71
[102] Received message from 121: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[120] Received message from  78: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[113] Received message from 102: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113
[125] Received message from  78: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[102] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113
[126] Received message from  78: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[138] Received message from 132: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,69,114,138
[120] Received message from 121: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[ 78] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[132] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,69,114,138
[123] Received message from  71: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123
[ 70] Received message from 125: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71
[ 23] Received message from 113: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130
[ 71] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123
[125] Received message from 121: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[100] Received message from 123: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123,100,136
[ 27] Received message from  23: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130,27,66,88
[ 71] Received message from 125: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71
[136] Received message from 123: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123,100,136
[ 26] Received message from 113: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130
[ 66] Received message from  23: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130,27,66,88
[ 99] Received message from  70: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,99,118,124
[126] Received message from 121: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[123] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123,100,136
[ 20] Received message from 136: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123,100,136,20,24,39
[125] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71
[121] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126
[ 53] Received message from  99: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,99,118,124,53,127
[  8] Received message from 100: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123,100,136,8,14,24,39,47,57,59,84,91,92,109,147
[ 13] Received message from  27: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130,27,66,88,13
[ 24] Received message from 136: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123,100,136,20,24,39
[ 98] Received message from 113: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130
[ 88] Received message from  23: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130,27,66,88
[ 23] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130,27,66,88
[118] Received message from  70: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,99,118,124
[124] Received message from  70: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,99,118,124
[ 70] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,99,118,124
[ 83] Received message from   8: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123,100,136,8,14,24,39,47,57,59,84,91,92,109,147,83
[150] Received message from 124: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,99,118,124,150
[  8] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123,100,136,8,14,24,39,47,57,59,84,91,92,109,147,83
[127] Received message from  99: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,99,118,124,53,127
[ 27] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130,27,66,88,13
[ 13] Received message from  66: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130,27,66,88,13
[ 14] Received message from 100: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,70,71,123,100,136,8,14,24,39,47,57,59,84,91,92,109,147
[ 66] Sent Broadcast: 3|0,44,52,67,142,3,21,28,116,137,143,37,80,35,43,89,36,68,95,141,74,129,140,149,16,65,144,75,81,55,132,78,121,6,102,120,125,126,113,23,26,98,130,27,66,88,13
