[ 90] Received message from   1: 1|0,90
[ 10] Received message from  83: 6|0,13,72,112,125,138,6,84,106,82,83,10
[ 83] Sent Broadcast: 6|0,13,72,112,125,138,6,84,106,82,83,10
[ 33] Received message from  10: 6|0,13,72,112,125,138,6,84,106,82,83,10,33
[ 10] Sent Broadcast: 6|0,13,72,112,125,138,6,84,106,82,83,10,33
[ 52] Received message from   9: 9|0,52,85,132
[ 85] Received message from   9: 9|0,52,85,132
[132] Received message from   9: 9|0,52,85,132
[  9] Sent Broadcast: 9|0,52,85,132
[141] Received message from  85: 9|0,52,85,132,9,141
[ 85] Sent Broadcast: 9|0,52,85,132,9,141
[ 86] Received message from 132: 9|0,52,85,132,9,86,141
[109] Received message from  52: 9|0,52,85,132,9,109
[ 52] Sent Broadcast: 9|0,52,85,132,9,109
[ 46] Received message from 141: 9|0,52,85,132,9,141,46,86
[141] Received message from 132: 9|0,52,85,132,9,86,141
[132] Sent Broadcast: 9|0,52,85,132,9,86,141
[ 29] Received message from  86: 9|0,52,85,132,9,86,141,29
[ 86] Sent Broadcast: 9|0,52,85,132,9,86,141,29
[ 86] Received message from 141: 9|0,52,85,132,9,141,46,86
[ 93] Received message from 109: 9|0,52,85,132,9,109,93
[141] Sent Broadcast: 9|0,52,85,132,9,141,46,86
[109] Sent Broadcast: 9|0,52,85,132,9,109,93
[ 34] Received message from  29: 9|0,52,85,132,9,86,141,29,34,39,98
[ 39] Received message from  29: 9|0,52,85,132,9,86,141,29,34,39,98
[ 98] Received message from  29: 9|0,52,85,132,9,86,141,29,34,39,98
[ 29] Sent Broadcast: 9|0,52,85,132,9,86,141,29,34,39,98
[ 99] Received message from  39: 9|0,52,85,132,9,86,141,29,34,39,98,99,100
[ 17] Received message from  99: 9|0,52,85,132,9,86,141,29,34,39,98,99,100,17,19
[100] Received message from  39: 9|0,52,85,132,9,86,141,29,34,39,98,99,100
[ 39] Sent Broadcast: 9|0,52,85,132,9,86,141,29,34,39,98,99,100
